#|num|weight|mean|covariance matrix|
|17|13.7397014181|-18.0779457092 31.8442420959 14.2066450119|0.001 2.78010927194e-14 -4.48876172069e-15 2.78010927194e-14 0.000984379707588 1.08420217249e-19 -4.48876172069e-15 1.0813754709e-19 0.000984379707588|
|18|139.97393393|-1.48837040257 47.9681811405 6.96761508057|14.0612235958 3.6971337291 4.89598595976 3.6971337291 10.878771191 3.17187395064 4.89598595976 3.17187395064 2.09136018057|
|19|54.8837216375|-13.3314540744 50.4993311556 -2.90198088209|0.999097490671 0.388172481416 -0.661120212296 0.388172481416 0.169513029921 -0.22154010653 -0.661120212296 -0.22154010653 1.48527269786|
|20|188.146629648|-17.3509835585 36.3404474845 16.4583862431|1.8429306653 0.0927307365463 -2.07894508341 0.0927307365463 23.7632462476 31.7432094719 -2.07894508341 31.7432094719 45.0484692463|
|21|137.45347327|-19.5355667115 46.1637957161 17.1044495115|4.89062146092 1.71752442468 5.26112759693 1.71752442468 0.903288970291 1.59511400744 5.26112759693 1.59511400744 6.15053488274|
|22|80.9027323485|-4.01310664634 45.5247105623 22.3995476078|2.98486728285 3.51230023966 -2.50920628413 3.51230023966 6.13555850953 -3.59778864122 -2.50920628413 -3.59778864122 2.32268376988|
|23|13.7400613929|-30.6106109619 46.8080215454 2.44881606102|0.001 -1.44834862199e-27 5.04870979341e-29 -6.40555055039e-28 0.001 0.0 5.04870979341e-29 7.30400063321e-22 0.001|
|24|363.947607168|10.2835023244 33.9336807381 26.924087224|21.8149116087 10.9266633268 11.2726989069 10.9266633268 5.54464854923 5.84989682925 11.2726989069 5.84989682925 7.60635843535|
|25|27.480122839|-7.30672717095 36.0110054016 26.6537284851|3.76595981344 0.623971832593 -0.620851014731 0.623971832593 0.104396914213 -0.102894166313 -0.620851014731 -0.102894166313 0.103365188403|
|26|27.4684590433|-8.95766305617 51.2138326734 18.2549720283|0.926529507034 0.825588485316 2.41640272475 0.825588485316 0.737447589263 2.15548421051 2.41640272475 2.15548421051 6.30984832099|
|27|144.384783421|-9.12618691736 54.074271298 11.922367504|0.632173040301 0.806036163832 1.24801165168 0.806036163832 3.12295200727 -1.3709467019 1.24801165168 -1.3709467019 7.70117169833|
|28|235.046665622|-5.25212567918 42.1996935819 -0.0861828185906|0.689581404703 0.867578668802 1.45472390344 0.867578668802 2.94176111551 3.55867273711 1.45472390344 3.55867273711 6.37163887643|
|29|13.7319228005|-14.3409128189 35.5939674377 6.83869218826|0.001 -1.30013104823e-14 -5.37337286882e-16 -1.30013104823e-14 0.000995953654162 -4.06575814682e-20 -5.37337286882e-16 -9.38261207928e-21 0.000995953654162|
|30|161.938532596|-34.1571420907 34.1513682998 10.2958798388|4.76387210176 -2.31927502161 1.30091940268 -2.31927502161 1.37226082881 -0.333978109554 1.30091940268 -0.333978109554 1.14435648384|
|31|13.7400242869|-23.0543346405 45.159286499 3.08673667908|0.001 9.56099417128e-28 0.0 9.56099417128e-28 0.001 1.35525271561e-20 0.0 -1.30891906028e-20 0.001|
|32|40.9418135898|-25.2230137055 44.0276645466 22.7786446975|2.23642403945 2.73299504509 -0.324509055915 2.73299504509 3.34418106396 -0.414242881917 -0.324509055915 -0.414242881917 0.212519711558|
